hour,product,sdds_mean,sdds_weighted,post_count,engagement_velocity,sdds_final,ddm,sentiment_velocity,action,action_color,action_emoji
2026-05-29 22:00:00,Athletic Greens,0.6739,0.6739,1,267,0.0,0.0,0.0,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-29 23:00:00,Athletic Greens,0.11803333333333337,-0.13175834609494638,6,2612,-0.13175834609494638,-0.0708,-0.13176,⚡ EARLY WARNING — Accelerating decline,#ff4444,⚡
2026-05-30 00:00:00,Athletic Greens,0.1367,-0.018600115606936418,2,865,0.0,-0.0436,0.0,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 01:00:00,Athletic Greens,-0.4767,-0.47669999999999996,2,858,0.0,-0.0301,0.01318,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 02:00:00,Athletic Greens,0.15574285714285716,0.4164187136050821,7,3778,0.4164187136050821,0.0878,0.16445,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 03:00:00,Athletic Greens,0.3595,0.46092086523736603,6,2612,0.46092086523736603,0.1753,0.17992,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 04:00:00,Athletic Greens,0.5936600000000001,0.7015359788359788,5,2079,0.7015359788359788,0.2881,0.21491,🟢 STANDARD REPLENISHMENT — Positive sentiment,#44cc66,🟢
2026-05-30 05:00:00,Athletic Greens,-0.13522499999999998,-0.25332643207855976,4,1222,-0.25332643207855976,0.1802,-0.17686,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 06:00:00,Athletic Greens,-0.010583333333333342,-0.1166482202820685,6,1489,-0.1166482202820685,0.1244,-0.26876,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 07:00:00,Athletic Greens,-0.09637142857142857,-0.0623373822975518,7,2124,-0.0623373822975518,0.0909,-0.21549,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 08:00:00,Athletic Greens,0.36572,0.3020362466124661,5,2952,0.3020362466124661,0.1273,0.17204,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 09:00:00,Athletic Greens,0.20742500000000003,-0.029185399673735707,4,2452,-0.029185399673735707,0.1012,0.06268,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 10:00:00,Athletic Greens,0.3031142857142858,0.255694308075418,7,2811,0.255694308075418,0.1263,0.06229,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 11:00:00,Athletic Greens,0.15644999999999998,0.20195895865237368,4,653,0.20195895865237368,0.1383,-0.00154,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 12:00:00,Athletic Greens,0.158325,0.08916002498438476,8,4803,0.08916002498438476,0.1306,0.03013,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 13:00:00,Athletic Greens,0.31653333333333333,0.2431263725490196,6,2040,0.2431263725490196,0.1479,-0.01505,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 14:00:00,Athletic Greens,0.12961666666666666,0.23592974442631864,6,1839,0.23592974442631864,0.1612,0.02559,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 15:00:00,Athletic Greens,0.013249999999999998,-0.14664202898550727,2,690,0.0,0.1371,-0.02747,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 16:00:00,Athletic Greens,0.71945,0.6710767515923568,2,314,0.0,0.1168,-0.09653,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 17:00:00,Athletic Greens,0.16446,0.2990568695652174,5,1725,0.2990568695652174,0.1435,0.01894,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 18:00:00,Athletic Greens,0.21181666666666668,0.11796752008032128,6,1992,0.11796752008032128,0.1398,0.0653,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 19:00:00,Athletic Greens,0.039599999999999996,0.21985396825396825,2,567,0.0,0.1196,-0.01811,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 20:00:00,Athletic Greens,0.7042666666666667,0.7276271298593879,3,2418,0.7276271298593879,0.2071,0.11677,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 21:00:00,Athletic Greens,0.619,0.6277241299303945,4,1293,0.6277241299303945,0.2673,0.22569,🟢 STANDARD REPLENISHMENT — Positive sentiment,#44cc66,🟢
2026-05-30 22:00:00,Athletic Greens,-0.25742000000000004,-0.21632752242152467,5,1784,-0.21632752242152467,0.1991,-0.07489,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-30 23:00:00,Athletic Greens,0.1881375,0.08747825421133233,8,5224,0.08747825421133233,0.1844,-0.27645,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 00:00:00,Athletic Greens,0.16566363636363637,0.07912314133468662,11,3941,0.07912314133468662,0.1701,-0.1342,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 01:00:00,Athletic Greens,0.127975,0.05833926991150441,8,3616,0.05833926991150441,0.1547,0.08156,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 02:00:00,Athletic Greens,0.1751,0.021609107981220663,4,1065,0.021609107981220663,0.1346,-0.02184,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 03:00:00,Athletic Greens,0.3963111111111111,0.10082096588099557,9,6067,0.10082096588099557,0.1285,0.00284,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 04:00:00,Athletic Greens,0.35772000000000004,0.44104753328112767,5,2554,0.44104753328112767,0.171,0.12273,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 05:00:00,Athletic Greens,0.14,0.4066130601792574,4,1562,0.4066130601792574,0.2064,0.14952,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 06:00:00,Athletic Greens,0.12304285714285715,0.09378257063270992,7,2513,0.09378257063270992,0.1916,-0.00555,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 07:00:00,Athletic Greens,0.10255,0.09237250770811922,4,1946,0.09237250770811922,0.1783,-0.13589,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 08:00:00,Athletic Greens,-0.13474,-0.19899384846211554,5,2666,-0.19899384846211554,0.1238,-0.18182,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 09:00:00,Athletic Greens,0.025224999999999997,-0.29011760521636043,4,1687,-0.29011760521636043,0.0651,-0.14431,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 10:00:00,Athletic Greens,-0.06033333333333335,-0.040301969981238306,3,2132,-0.040301969981238306,0.0493,-0.04891,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 11:00:00,Athletic Greens,0.137325,0.09302603201347937,8,3561,0.09302603201347937,0.055,0.11259,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 12:00:00,Athletic Greens,0.17523333333333335,0.09395624096385541,3,2075,0.09395624096385541,0.0604,0.12855,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 13:00:00,Athletic Greens,0.14988571428571432,-0.030797443988639955,7,3169,-0.030797443988639955,0.0466,0.00294,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 14:00:00,Athletic Greens,0.3113666666666667,0.33295671687672923,6,3253,0.33295671687672923,0.0869,0.0595,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 15:00:00,Athletic Greens,0.15526250000000003,0.11521426419965576,8,4648,0.11521426419965576,0.0913,0.04275,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 16:00:00,Athletic Greens,0.22555000000000003,-0.03574090584878742,6,2804,-0.03574090584878742,0.0735,-0.02326,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 17:00:00,Athletic Greens,0.267,0.3860676293103448,7,2320,0.3860676293103448,0.1173,0.00084,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 18:00:00,Athletic Greens,0.3530375,0.14383887957864497,8,4177,0.14383887957864497,0.1211,0.05077,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 19:00:00,Athletic Greens,0.3506666666666667,0.28422831367106177,3,2882,0.28422831367106177,0.145,0.07177,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 20:00:00,Athletic Greens,0.5260142857142858,0.2888855377574371,7,2185,0.2888855377574371,0.1633,-0.01512,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 21:00:00,Athletic Greens,0.1504,0.14958548854358705,7,3797,0.14958548854358705,0.1595,0.00219,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 22:00:00,Athletic Greens,0.7501,0.7501,1,85,0.0,0.1381,-0.0992,⚪ MONITOR — Neutral signal,#888888,⚪
2026-05-31 23:00:00,Athletic Greens,0.6641666666666667,0.6226697222222223,3,2160,0.6226697222222223,0.2077,0.08518,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 00:00:00,Athletic Greens,-0.02367999999999999,0.019581645842309356,5,2321,0.019581645842309356,0.1813,0.02327,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 01:00:00,Athletic Greens,0.34240000000000004,0.4338717399071097,6,5598,0.4338717399071097,0.2179,0.06985,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 02:00:00,Athletic Greens,0.20732499999999998,0.3282043124491457,4,1229,0.3282043124491457,0.2345,-0.04691,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 03:00:00,Athletic Greens,-0.27018,-0.0871466272189349,5,1690,-0.0871466272189349,0.189,-0.04259,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 04:00:00,Athletic Greens,-0.4767,-0.4767,1,1351,0.0,0.1609,-0.1717,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 05:00:00,Athletic Greens,-0.095625,-0.2010362251243781,8,3216,-0.2010362251243781,0.1081,-0.15006,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 06:00:00,Athletic Greens,0.14702857142857145,0.1159555243445693,7,3204,0.1159555243445693,0.1093,0.04083,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 07:00:00,Athletic Greens,-0.2697,-0.2391689146469968,3,949,-0.2391689146469968,0.0595,-0.04005,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 08:00:00,Athletic Greens,0.1378,-0.12504818181818184,3,880,-0.12504818181818184,0.0341,-0.01272,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 09:00:00,Athletic Greens,0.1887125,0.1460632960748635,8,3847,0.1460632960748635,0.0514,0.02044,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 10:00:00,Athletic Greens,0.08858000000000002,-0.182350693962526,5,2882,-0.182350693962526,0.0182,0.04416,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 11:00:00,Athletic Greens,0.1337,0.03762581898945032,7,3602,0.03762581898945032,0.0207,0.01596,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 12:00:00,Athletic Greens,-0.06097499999999999,-0.19392686898593636,8,2702,-0.19392686898593636,-0.0103,-0.08,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 13:00:00,Athletic Greens,0.05828571428571429,0.17115292981326463,7,3106,0.17115292981326463,0.0158,0.0829,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 14:00:00,Athletic Greens,0.17446666666666666,0.3392930933852141,3,1028,0.3392930933852141,0.0609,0.12701,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 15:00:00,Athletic Greens,0.1367,0.039494535519125684,2,366,0.0,0.0519,0.07499,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 16:00:00,Athletic Greens,-0.07479999999999999,-0.03595263157894736,3,1292,-0.03595263157894736,0.0397,-0.09606,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 17:00:00,Athletic Greens,0.08295000000000001,0.04608741474147413,8,4545,0.04608741474147413,0.0392,-0.09156,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 18:00:00,Athletic Greens,0.7379500000000001,0.7426172093023256,2,1290,0.0,0.0332,0.0082,⚪ MONITOR — Neutral signal,#888888,⚪
2026-06-01 19:00:00,Athletic Greens,-0.001483333333333332,0.0009885832900882116,6,1927,0.0009885832900882116,0.0276,0.00647,⚪ MONITOR — Neutral signal,#888888,⚪
